iter	Passed	Remaining
0	1	184
1	3	159
2	4	153
3	5	139
4	7	137
5	8	137
6	10	137
7	11	135
8	13	133
9	14	131
10	16	129
11	17	128
12	18	125
13	20	123
14	21	121
15	22	120
16	24	120
17	26	118
18	27	117
19	29	116
20	30	114
21	32	113
22	33	112
23	35	111
24	36	109
25	37	108
26	39	106
27	40	104
28	42	103
29	44	102
30	45	101
31	47	100
32	49	99
33	50	98
34	52	96
35	53	95
36	55	94
37	57	93
38	59	93
39	61	91
40	63	90
41	63	88
42	65	86
43	67	85
44	68	84
45	70	82
46	72	81
47	73	79
48	75	78
49	76	76
50	78	75
51	80	73
52	81	72
53	83	70
54	85	70
55	87	68
56	88	67
57	90	65
58	92	63
59	94	62
60	95	61
61	97	59
62	98	58
63	101	56
64	103	55
65	104	54
66	106	52
67	111	52
68	113	50
69	115	49
70	117	47
71	119	46
72	122	45
73	124	43
74	126	42
75	128	40
76	131	39
77	134	37
78	136	36
79	137	34
80	140	32
81	142	31
82	143	29
83	145	27
84	147	26
85	151	24
86	154	23
87	156	21
88	159	19
89	161	17
90	164	16
91	166	14
92	169	12
93	171	10
94	174	9
95	176	7
96	178	5
97	182	3
98	185	1
99	189	0
