iter	Passed	Remaining
0	152	151965
1	152	76315
2	153	51105
3	154	38515
4	155	31041
5	156	25971
6	157	22361
7	158	19646
8	159	17536
9	160	15843
10	160	14471
11	161	13324
12	162	12358
13	163	11536
14	164	10808
15	165	10172
16	166	9608
17	167	9113
18	168	8676
19	169	8291
20	170	7926
21	170	7595
22	171	7301
23	172	7023
24	173	6767
25	174	6529
26	175	6309
27	175	6108
28	176	5922
29	177	5745
30	178	5578
31	179	5425
32	180	5282
33	181	5148
34	182	5022
35	183	4903
36	184	4790
37	185	4684
38	185	4581
39	186	4482
40	187	4385
41	188	4295
42	189	4207
43	189	4125
44	190	4046
45	191	3971
46	192	3901
47	193	3832
48	194	3768
49	195	3706
50	195	3646
51	197	3591
52	197	3534
53	198	3479
54	199	3428
55	200	3376
56	201	3327
57	201	3280
58	202	3234
59	203	3189
60	204	3144
61	205	3102
62	205	3062
63	206	3022
64	207	2984
65	208	2948
66	209	2912
67	210	2879
68	211	2847
69	211	2814
70	212	2783
71	213	2750
72	214	2720
73	215	2691
74	215	2662
75	216	2635
76	217	2607
77	218	2580
78	219	2554
79	219	2529
80	220	2504
81	221	2480
82	221	2452
83	222	2429
84	223	2406
85	224	2384
86	225	2364
87	226	2344
88	227	2323
89	227	2303
90	228	2283
91	229	2265
92	230	2247
93	231	2227
94	231	2209
95	232	2191
96	233	2173
97	234	2156
98	235	2139
99	235	2123
100	236	2107
101	237	2091
102	238	2075
103	239	2060
104	239	2045
105	240	2030
106	241	2016
107	242	2002
108	243	1989
109	244	1974
110	244	1961
111	245	1947
112	246	1934
113	247	1921
114	248	1908
115	248	1896
116	249	1882
117	250	1870
118	251	1858
119	251	1847
120	252	1836
121	253	1823
122	254	1813
123	255	1802
124	255	1791
125	256	1780
126	257	1768
127	258	1758
128	258	1748
129	259	1738
130	260	1728
131	261	1718
132	262	1709
133	262	1699
134	263	1689
135	264	1680
136	265	1671
137	266	1662
138	266	1653
139	267	1644
140	268	1636
141	269	1626
142	270	1618
143	270	1610
144	271	1602
145	272	1594
146	273	1586
147	274	1577
148	274	1569
149	275	1562
150	276	1554
151	277	1546
152	278	1539
153	278	1531
154	279	1523
155	280	1516
156	281	1509
157	281	1502
158	282	1495
159	283	1489
160	284	1481
161	285	1474
162	285	1468
163	286	1461
164	287	1455
165	288	1449
166	289	1443
167	290	1437
168	291	1431
169	291	1424
170	292	1419
171	293	1413
172	294	1407
173	295	1402
174	296	1397
175	297	1392
176	298	1386
177	298	1380
178	299	1374
179	300	1369
180	301	1364
181	302	1359
182	303	1354
183	304	1349
184	305	1344
185	306	1339
186	306	1334
187	307	1329
188	308	1324
189	309	1320
190	310	1316
191	311	1311
192	312	1307
193	313	1302
194	316	1304
195	317	1300
196	317	1295
197	318	1291
198	319	1286
199	320	1281
200	321	1276
201	321	1271
202	322	1267
203	323	1262
204	324	1258
205	325	1253
206	326	1249
207	326	1244
208	327	1240
209	328	1236
210	329	1231
211	330	1227
212	331	1223
213	332	1219
214	332	1214
215	333	1210
216	334	1206
217	335	1202
218	336	1198
219	336	1194
220	337	1190
221	338	1186
222	339	1183
223	340	1179
224	341	1175
225	342	1171
226	342	1167
227	343	1164
228	344	1160
229	345	1157
230	346	1153
231	347	1150
232	348	1146
233	349	1142
234	349	1138
235	350	1135
236	351	1131
237	352	1128
238	353	1124
239	354	1121
240	354	1117
241	355	1114
242	356	1110
243	357	1107
244	358	1104
245	359	1100
246	359	1097
247	360	1093
248	361	1090
249	362	1087
250	363	1084
251	364	1081
252	364	1077
253	365	1074
254	366	1071
255	367	1068
256	368	1064
257	369	1061
258	370	1058
259	370	1055
260	371	1052
261	372	1049
262	373	1046
263	374	1044
264	375	1040
265	376	1038
266	377	1035
267	378	1032
268	378	1029
269	379	1026
270	380	1023
271	381	1020
272	382	1018
273	383	1015
274	383	1012
275	384	1009
276	385	1006
277	386	1003
278	387	1001
279	388	998
280	389	995
281	389	992
282	390	989
283	391	987
284	392	984
285	393	981
286	394	979
287	395	976
288	396	974
289	397	972
290	397	969
291	398	966
292	399	964
293	400	961
294	401	958
295	402	956
296	403	954
297	403	951
298	404	949
299	405	946
300	406	944
301	407	942
302	408	939
303	409	937
304	410	934
305	411	932
306	411	929
307	412	927
308	413	925
309	414	922
310	415	920
311	416	917
312	417	915
313	417	913
314	418	910
315	419	908
316	420	906
317	421	904
318	422	902
319	423	899
320	424	897
321	425	895
322	426	892
323	426	890
324	427	888
325	428	886
326	429	884
327	430	882
328	431	879
329	432	877
330	433	875
331	433	873
332	434	870
333	435	868
334	437	867
335	438	865
336	439	863
337	439	861
338	440	859
339	441	857
340	442	855
341	443	853
342	444	851
343	445	849
344	446	847
345	447	845
346	448	843
347	449	841
348	450	839
349	451	838
350	452	836
351	453	834
352	454	832
353	455	830
354	456	828
355	456	826
356	457	824
357	458	823
358	459	821
359	460	819
360	461	817
361	462	815
362	463	813
363	464	812
364	465	810
365	467	809
366	468	807
367	469	805
368	470	803
369	471	802
370	472	800
371	473	798
372	474	797
373	475	795
374	476	793
375	476	791
376	477	789
377	479	788
378	479	786
379	480	784
380	481	783
381	482	781
382	483	779
383	484	777
384	485	775
385	486	774
386	487	772
387	488	771
388	489	769
389	490	767
390	491	765
391	492	764
392	493	762
393	494	760
394	495	759
395	496	757
396	497	756
397	498	754
398	499	752
399	500	750
400	501	749
401	502	747
402	503	745
403	504	743
404	505	742
405	506	740
406	507	738
407	507	736
408	508	735
409	509	733
410	510	731
411	511	729
412	512	728
413	513	726
414	514	724
415	515	723
416	515	721
417	516	719
418	517	717
419	518	716
420	519	714
421	520	712
422	521	711
423	522	709
424	522	707
425	523	705
426	524	703
427	525	702
428	526	700
429	527	698
430	528	697
431	529	695
432	529	693
433	530	692
434	531	690
435	532	688
436	533	687
437	534	685
438	535	683
439	536	682
440	537	680
441	537	679
442	538	677
443	539	675
444	540	674
445	541	672
446	542	670
447	543	669
448	543	667
449	544	665
450	545	664
451	546	662
452	547	661
453	548	659
454	549	657
455	550	656
456	551	654
457	551	653
458	552	651
459	553	650
460	554	648
461	555	646
462	556	645
463	557	643
464	558	642
465	559	640
466	559	639
467	560	637
468	561	635
469	562	634
470	563	632
471	564	631
472	565	629
473	566	628
474	567	626
475	567	625
476	568	623
477	569	621
478	570	620
479	571	619
480	572	618
481	573	616
482	574	615
483	575	613
484	576	612
485	577	610
486	578	609
487	579	607
488	580	606
489	581	604
490	582	603
491	583	601
492	583	600
493	584	599
494	585	597
495	587	596
496	588	595
497	589	593
498	589	592
499	590	590
500	591	589
501	592	588
502	593	586
503	594	585
504	595	583
505	596	582
506	597	580
507	598	579
508	599	577
509	599	576
510	600	574
511	601	573
512	602	572
513	603	570
514	604	569
515	605	567
516	606	566
517	607	564
518	607	563
519	608	561
520	609	560
521	610	558
522	611	557
523	612	556
524	612	554
525	613	552
526	614	551
527	615	550
528	616	548
529	617	547
530	618	545
531	619	544
532	620	543
533	621	542
534	622	540
535	622	539
536	623	537
537	624	536
538	625	535
539	626	533
540	627	532
541	628	530
542	629	529
543	630	528
544	631	527
545	632	525
546	632	524
547	633	522
548	634	521
549	635	520
550	636	519
551	637	517
552	638	516
553	639	515
554	640	513
555	641	512
556	642	510
557	643	509
558	644	508
559	645	506
560	645	505
561	646	504
562	647	502
563	648	501
564	649	500
565	650	498
566	651	497
567	652	496
568	653	495
569	654	493
570	655	492
571	656	491
572	657	489
573	658	488
574	659	487
575	659	485
576	660	484
577	661	483
578	662	481
579	663	480
580	664	479
581	665	477
582	666	476
583	667	475
584	667	473
585	668	472
586	669	471
587	670	469
588	671	468
589	672	467
590	673	466
591	674	464
592	675	463
593	675	461
594	676	460
595	677	459
596	678	458
597	679	456
598	680	455
599	698	465
600	699	464
601	700	463
602	701	462
603	702	460
604	704	459
605	705	458
606	706	457
607	708	456
608	709	455
609	710	454
610	711	452
611	712	451
612	713	450
613	714	449
614	716	448
615	717	446
616	717	445
617	718	444
618	719	443
619	720	441
620	721	440
621	723	439
622	724	438
623	725	436
624	726	435
625	726	434
626	727	433
627	728	431
628	729	430
629	730	429
630	731	427
631	732	426
632	733	425
633	734	424
634	735	422
635	736	421
636	737	420
637	738	418
638	739	417
639	740	416
640	741	415
641	742	413
642	743	412
643	744	411
644	745	410
645	746	408
646	747	407
647	748	406
648	748	405
649	749	403
650	750	402
651	751	401
652	752	399
653	753	398
654	754	397
655	755	396
656	756	394
657	757	393
658	758	392
659	758	390
660	759	389
661	760	388
662	761	387
663	762	385
664	763	384
665	764	383
666	765	382
667	766	380
668	767	379
669	767	378
670	769	377
671	769	375
672	770	374
673	771	373
674	772	371
675	773	370
676	774	369
677	775	368
678	776	366
679	776	365
680	777	364
681	778	363
682	779	361
683	780	360
684	781	359
685	782	357
686	783	356
687	784	355
688	784	354
689	785	353
690	786	351
691	787	350
692	788	349
693	789	348
694	790	346
695	791	345
696	792	344
697	793	343
698	794	342
699	795	340
700	796	339
701	797	338
702	798	337
703	799	335
704	800	334
705	801	333
706	802	332
707	803	331
708	803	329
709	804	328
710	806	327
711	807	326
712	807	325
713	808	323
714	809	322
715	810	321
716	811	320
717	812	319
718	813	318
719	815	316
720	815	315
721	816	314
722	817	313
723	818	312
724	819	310
725	820	309
726	821	308
727	822	307
728	823	306
729	824	304
730	825	303
731	826	302
732	827	301
733	827	300
734	828	298
735	829	297
736	830	296
737	831	295
738	832	294
739	833	292
740	834	291
741	835	290
742	836	289
743	837	288
744	838	286
745	839	285
746	840	284
747	841	283
748	842	282
749	843	281
750	844	279
751	845	278
752	846	277
753	847	276
754	848	275
755	849	274
756	850	272
757	851	271
758	852	270
759	853	269
760	853	268
761	854	267
762	856	265
763	857	264
764	857	263
765	859	262
766	859	261
767	860	260
768	861	258
769	862	257
770	863	256
771	864	255
772	865	254
773	866	252
774	867	251
775	867	250
776	868	249
777	869	248
778	870	246
779	871	245
780	872	244
781	873	243
782	874	242
783	875	241
784	876	240
785	877	238
786	878	237
787	879	236
788	879	235
789	880	234
790	881	233
791	882	231
792	883	230
793	884	229
794	885	228
795	886	227
796	887	226
797	888	224
798	889	223
799	890	222
800	891	221
801	892	220
802	893	219
803	894	217
804	895	216
805	896	215
806	896	214
807	897	213
808	898	212
809	899	211
810	900	209
811	901	208
812	902	207
813	903	206
814	904	205
815	905	204
816	906	202
817	907	201
818	908	200
819	908	199
820	909	198
821	910	197
822	911	196
823	912	194
824	913	193
825	914	192
826	915	191
827	916	190
828	917	189
829	918	188
830	919	186
831	920	185
832	921	184
833	921	183
834	922	182
835	923	181
836	924	180
837	925	178
838	926	177
839	927	176
840	928	175
841	929	174
842	929	173
843	930	172
844	931	170
845	932	169
846	933	168
847	934	167
848	935	166
849	936	165
850	937	164
851	938	163
852	939	161
853	940	160
854	941	159
855	942	158
856	943	157
857	944	156
858	945	155
859	946	154
860	947	152
861	948	151
862	949	150
863	950	149
864	951	148
865	952	147
866	953	146
867	954	145
868	955	143
869	956	142
870	957	141
871	958	140
872	959	139
873	960	138
874	961	137
875	962	136
876	963	135
877	964	134
878	965	132
879	966	131
880	967	130
881	968	129
882	969	128
883	970	127
884	971	126
885	972	125
886	973	123
887	974	122
888	974	121
889	975	120
890	976	119
891	977	118
892	978	117
893	979	116
894	980	115
895	981	113
896	982	112
897	983	111
898	984	110
899	984	109
900	985	108
901	986	107
902	987	106
903	988	104
904	989	103
905	990	102
906	991	101
907	991	100
908	992	99
909	993	98
910	994	97
911	995	96
912	996	94
913	997	93
914	998	92
915	998	91
916	999	90
917	1000	89
918	1001	88
919	1002	87
920	1003	86
921	1003	84
922	1004	83
923	1005	82
924	1006	81
925	1007	80
926	1008	79
927	1009	78
928	1010	77
929	1010	76
930	1011	74
931	1012	73
932	1013	72
933	1014	71
934	1015	70
935	1016	69
936	1016	68
937	1017	67
938	1018	66
939	1019	65
940	1020	63
941	1021	62
942	1022	61
943	1023	60
944	1023	59
945	1024	58
946	1025	57
947	1026	56
948	1027	55
949	1028	54
950	1028	53
951	1029	51
952	1030	50
953	1031	49
954	1032	48
955	1033	47
956	1034	46
957	1034	45
958	1035	44
959	1036	43
960	1037	42
961	1038	41
962	1039	39
963	1040	38
964	1041	37
965	1041	36
966	1042	35
967	1043	34
968	1044	33
969	1045	32
970	1046	31
971	1047	30
972	1047	29
973	1048	27
974	1049	26
975	1050	25
976	1051	24
977	1052	23
978	1053	22
979	1054	21
980	1054	20
981	1055	19
982	1056	18
983	1057	17
984	1058	16
985	1059	15
986	1060	13
987	1061	12
988	1061	11
989	1062	10
990	1063	9
991	1064	8
992	1065	7
993	1066	6
994	1067	5
995	1068	4
996	1069	3
997	1069	2
998	1070	1
999	1071	0
